"<tfc:alabaster/bricks/black>","Black Alabaster Bricks"
"<tfc:raw/phyllite>","Raw Phyllite"
"<tfc:raw/quartzite>","Raw Quartzite"
"<tfc:raw/rhyolite>","Raw Rhyolite"
"<tfc:raw/rocksalt>","Raw Rocksalt"
"<tfc:raw/schist>","Raw Schist"
"<tfc:raw/shale>","Raw Shale"
"<tfc:raw/slate>","Raw Slate"
"<tfc:rock/andesite>","Andesite Rock"
"<tfc:rock/basalt>","Basalt Rock"
"<tfc:rock/chalk>","Chalk Rock"
"<tfc:rock/chert>","Chert Rock"
"<tfc:rock/claystone>","Claystone Rock"
"<tfc:rock/conglomerate>","Conglomerate Rock"
"<tfc:rock/dacite>","Dacite Rock"
"<tfc:rock/diorite>","Diorite Rock"
"<tfc:rock/dolomite>","Dolomite Rock"
"<tfc:rock/gabbro>","Gabbro Rock"
"<tfc:rock/gneiss>","Gneiss Rock"
"<tfc:rock/granite>","Granite Rock"
"<tfc:rock/limestone>","Limestone Rock"
"<tfc:rock/marble>","Marble Rock"
"<tfc:rock/phyllite>","Phyllite Rock"
"<tfc:rock/quartzite>","Quartzite Rock"
"<tfc:rock/rhyolite>","Rhyolite Rock"
"<tfc:rock/rocksalt>","Rocksalt Rock"
"<tfc:rock/schist>","Schist Rock"
"<tfc:rock/shale>","Shale Rock"
"<tfc:rock/slate>","Slate Rock"



"<tfc:smooth/andesite>","Smooth Andesite"
"<tfc:smooth/basalt>","Smooth Basalt"
"<tfc:smooth/chalk>","Smooth Chalk"
"<tfc:smooth/chert>","Smooth Chert"
"<tfc:smooth/claystone>","Smooth Claystone"
"<tfc:smooth/conglomerate>","Smooth Conglomerate"
"<tfc:smooth/dacite>","Smooth Dacite"
"<tfc:smooth/diorite>","Smooth Diorite"
"<tfc:smooth/dolomite>","Smooth Dolomite"
"<tfc:smooth/gabbro>","Smooth Gabbro"
"<tfc:smooth/gneiss>","Smooth Gneiss"
"<tfc:smooth/granite>","Smooth Granite"
"<tfc:smooth/limestone>","Smooth Limestone"
"<tfc:smooth/marble>","Smooth Marble"
"<tfc:smooth/phyllite>","Smooth Phyllite"
"<tfc:smooth/quartzite>","Smooth Quartzite"
"<tfc:smooth/rhyolite>","Smooth Rhyolite"
"<tfc:smooth/rocksalt>","Smooth Rocksalt"
"<tfc:smooth/schist>","Smooth Schist"
"<tfc:smooth/shale>","Smooth Shale"
"<tfc:smooth/slate>","Smooth Slate"


