<block:advancedrocketry:advrocketmotor>, Advanced Rocket Engine
<block:betterwithmods:cobblestone>, tile.bwm:cobble.name
<block:betterwithmods:companion_cube>, Companion Cube
<block:betterwithmods:cooking_pot>, tile.bwm:cooking_pot.name
<block:betterwithmods:creative_generator>, Creative Mechanical Generator
<block:betterwithmods:detector>, Detector Block
<block:betterwithmods:dirt_slab>, tile.bwm:dirt_slab.name
<block:betterwithmods:fertile_farmland>, Fertile Farmland
<block:betterwithmods:grate>, tile.bwm:grate.name
<block:betterwithmods:hand_crank>, Hand Crank
<block:betterwithmods:hemp>, Hemp Seeds
<block:betterwithmods:hibachi>, Hibachi
<block:betterwithmods:infernal_enchanter>, Infernal Enchanter
<block:betterwithmods:invisible_light>, tile.bwm:invisible_light.name
<block:betterwithmods:iron_wall>, Iron Wall
<block:betterwithmods:kiln>, Kiln
<block:betterwithmods:lens>, Lens Focus
<block:betterwithmods:light>, Light Block
<block:betterwithmods:metal_chime>, tile.bwm:metal_chime.name
<block:betterwithmods:mining_charge>, Mining Charge
<block:betterwithmods:nether_clay>, Nether Sludge Block
<block:betterwithmods:nether_growth>, Nether Growth Spore
<block:betterwithmods:planter>, tile.bwm:planter.name
<block:betterwithmods:platform>, Platform
<block:betterwithmods:raw_pastry>, tile.bwm:raw_pastry.name
<block:betterwithmods:rope>, Hemp Rope
<block:betterwithmods:saw>, Saw
<block:betterwithmods:screw_pump>, Screw Pump
<block:betterwithmods:shaft>, Shaft
<block:betterwithmods:single_machine>, tile.bwm:single_machine.name
<block:betterwithmods:slats>, tile.bwm:slats.name
<block:betterwithmods:stake>, Stake
<block:betterwithmods:stake_string>, tile.bwm:stake_string.name
<block:betterwithmods:steel_anvil>, Soulforged Steel Anvil
<block:betterwithmods:steel_axle>, Steel Axle
<block:betterwithmods:steel_block>, Soulforged Steel Block
<block:betterwithmods:steel_broken_gearbox>, Broken Steel Gearbox
<block:betterwithmods:steel_gearbox>, Steel Gearbox
<block:betterwithmods:steel_pressure_plate>, Steel Pressure Plate
<block:betterwithmods:steel_saw>, Soulforged Steel Saw
<block:betterwithmods:stoked_flame>, tile.bwm:stoked_flame.name
<block:betterwithmods:stone_corner>, tile.bwm:stone_corner.name
<block:betterwithmods:stone_moulding>, tile.bwm:stone_moulding.name
<block:betterwithmods:stone_siding>, tile.bwm:stone_siding.name
<block:betterwithmods:temporary_water>, tile.bwm:temporary_water.name
<block:betterwithmods:unfired_pottery>, tile.bwm:unfired_pottery.name
<block:betterwithmods:urn>, tile.bwm:urn.name
<block:betterwithmods:vase>, tile.bwm:vase.name
<block:betterwithmods:vine_trap>, Vine Trap
<block:betterwithmods:waterwheel>, tile.bwm:waterwheel.name
<block:betterwithmods:wicker>, Wicker
<block:betterwithmods:windmill>, tile.bwm:windmill.name
<block:betterwithmods:wood_bench>, tile.bwm:wood_bench.name
<block:betterwithmods:wood_corner>, tile.bwm:wood_corner.name
<block:betterwithmods:wood_moulding>, tile.bwm:wood_moulding.name
<block:betterwithmods:wood_siding>, tile.bwm:wood_siding.name
<block:betterwithmods:wood_table>, tile.bwm:wood_table.name
<block:betterwithmods:wooden_axle>, Wooden Axle
<block:betterwithmods:wooden_broken_gearbox>, Broken Wooden Gearbox
<block:betterwithmods:wooden_gearbox>, Wooden Gearbox
<block:chiselsandbits:bittank>, Chiseled Fluid Bit Tank
<block:chiselsandbits:chiseled_clay>, Chiseled Clay
<block:chiselsandbits:chiseled_cloth>, Chiseled Cloth
<block:chiselsandbits:chiseled_fluid>, Chiseled Fluid
<block:chiselsandbits:chiseled_glass>, Chiseled Glass
<block:chiselsandbits:chiseled_grass>, Chiseled Grass
<block:chiselsandbits:chiseled_ground>, Chiseled Ground
<block:chiselsandbits:chiseled_ice>, Chiseled Ice
<block:chiselsandbits:chiseled_iron>, Chiseled Metal
<block:chiselsandbits:chiseled_leaves>, Chiseled Leaves
<block:chiselsandbits:chiseled_packedice>, Chiseled Packed Ice
<block:chiselsandbits:chiseled_rock>, Chiseled Rock
<block:chiselsandbits:chiseled_sand>, Chiseled Sand
<block:chiselsandbits:chiseled_snow>, Chiseled Snow
<block:chiselsandbits:chiseled_wood>, Chiseled Wood
<block:customnpcs:npcborder>, Border
<block:customnpcs:npcbuilderblock>, Builder Block
<block:customnpcs:npccarpentybench>, Carpentry Bench
<block:customnpcs:npccopyblock>, Copy Block
<block:customnpcs:npcmailbox>, Mailbox
<block:customnpcs:npcredstoneblock>, Redstone Block
<block:customnpcs:npcscripted>, Scripted Block
<block:customnpcs:npcscripteddoor>, item.npcscripteddoor.name
<block:customnpcs:npcwaypoint>, Location Quest Block
<block:debark:debarked_log_minecraft_log>, tile.null.name
<block:debark:debarked_log_minecraft_log2>, tile.null.name
<block:debark:debarked_log_tfc_wood_log_acacia>, tile.null.name
<block:debark:debarked_log_tfc_wood_log_ash>, tile.null.name
<block:debark:debarked_log_tfc_wood_log_aspen>, tile.null.name
<block:debark:debarked_log_tfc_wood_log_birch>, tile.null.name
<block:debark:debarked_log_tfc_wood_log_blackwood>, tile.null.name
<block:debark:debarked_log_tfc_wood_log_chestnut>, tile.null.name
<block:debark:debarked_log_tfc_wood_log_douglas_fir>, tile.null.name
<block:debark:debarked_log_tfc_wood_log_hickory>, tile.null.name
<block:debark:debarked_log_tfc_wood_log_kapok>, tile.null.name
<block:debark:debarked_log_tfc_wood_log_maple>, tile.null.name
<block:debark:debarked_log_tfc_wood_log_oak>, tile.null.name
<block:debark:debarked_log_tfc_wood_log_palm>, tile.null.name
<block:debark:debarked_log_tfc_wood_log_pine>, tile.null.name
<block:debark:debarked_log_tfc_wood_log_rosewood>, tile.null.name
<block:debark:debarked_log_tfc_wood_log_sequoia>, tile.null.name
<block:debark:debarked_log_tfc_wood_log_spruce>, tile.null.name
<block:debark:debarked_log_tfc_wood_log_sycamore>, tile.null.name
<block:debark:debarked_log_tfc_wood_log_white_cedar>, tile.null.name
<block:debark:debarked_log_tfc_wood_log_willow>, tile.null.name
<block:engineersworkshop:blocktable>, Workshop Table
<block:horsepower:chopper>, Horse Chopping Block
<block:horsepower:chopper_filler>, tile.null.name
<block:horsepower:chopping_block>, Chopping Block
<block:horsepower:grindstone>, Horse Grindstone
<block:horsepower:hand_grindstone>, Grindstone
<block:horsepower:press>, Horse Press
<block:horsepower:press_filler>, tile.null.name
<block:immersivecables:coil_block>, tile.immersivecables:coil_block.name
<block:immersiveengineering:aluminum_scaffolding_stairs0>, Aluminium Scaffolding Stairs
<block:immersiveengineering:aluminum_scaffolding_stairs1>, Aluminium Scaffolding Stairs
<block:immersiveengineering:aluminum_scaffolding_stairs2>, Aluminium Scaffolding Stairs
<block:immersiveengineering:cloth_device>, tile.immersiveengineering.cloth_device.name
<block:immersiveengineering:connector>, tile.immersiveengineering.connector.name
<block:immersiveengineering:conveyor>, tile.immersiveengineering.conveyor.name
<block:immersiveengineering:fake_light>, tile.immersiveengineering.fake_light.name
<block:immersiveengineering:fluidbiodiesel>, Biodiesel
<block:immersiveengineering:fluidconcrete>, Liquid Concrete
<block:immersiveengineering:fluidcreosote>, Creosote Oil
<block:immersiveengineering:fluidethanol>, Ethanol
<block:immersiveengineering:fluidplantoil>, Plant Oil
<block:immersiveengineering:hemp>, Industrial Hemp
<block:immersiveengineering:metal_decoration0>, tile.immersiveengineering.metal_decoration0.name
<block:immersiveengineering:metal_decoration1>, tile.immersiveengineering.metal_decoration1.name
<block:immersiveengineering:metal_decoration1_slab>, tile.immersiveengineering.metal_decoration1_slab.name
<block:immersiveengineering:metal_decoration2>, tile.immersiveengineering.metal_decoration2.name
<block:immersiveengineering:metal_device0>, tile.immersiveengineering.metal_device0.name
<block:immersiveengineering:metal_device1>, tile.immersiveengineering.metal_device1.name
<block:immersiveengineering:metal_ladder>, tile.immersiveengineering.metal_ladder.name
<block:immersiveengineering:metal_multiblock>, tile.immersiveengineering.metal_multiblock.name
<block:immersiveengineering:ore>, tile.immersiveengineering.ore.name
<block:immersiveengineering:sheetmetal>, tile.immersiveengineering.sheetmetal.name
<block:immersiveengineering:sheetmetal_slab>, tile.immersiveengineering.sheetmetal_slab.name
<block:immersiveengineering:steel_scaffolding_stairs0>, Steel Scaffolding Stairs
<block:immersiveengineering:steel_scaffolding_stairs1>, Steel Scaffolding Stairs
<block:immersiveengineering:steel_scaffolding_stairs2>, Steel Scaffolding Stairs
<block:immersiveengineering:stone_decoration>, tile.immersiveengineering.stone_decoration.name
<block:immersiveengineering:stone_decoration_slab>, tile.immersiveengineering.stone_decoration_slab.name
<block:immersiveengineering:stone_decoration_stairs_concrete>, Concrete Stairs
<block:immersiveengineering:stone_decoration_stairs_concrete_leaded>, Leaded Concrete Stairs
<block:immersiveengineering:stone_decoration_stairs_concrete_tile>, Concrete Tile Stairs
<block:immersiveengineering:stone_decoration_stairs_hempcrete>, Hempcrete Stairs
<block:immersiveengineering:stone_device>, tile.immersiveengineering.stone_device.name
<block:immersiveengineering:storage>, tile.immersiveengineering.storage.name
<block:immersiveengineering:storage_slab>, tile.immersiveengineering.storage_slab.name
<block:immersiveengineering:treated_wood>, tile.immersiveengineering.treated_wood.name
<block:immersiveengineering:treated_wood_slab>, tile.immersiveengineering.treated_wood_slab.name
<block:immersiveengineering:treated_wood_stairs0>, Treated Wood Stairs
<block:immersiveengineering:treated_wood_stairs1>, Treated Wood Stairs
<block:immersiveengineering:treated_wood_stairs2>, Treated Wood Stairs
<block:immersiveengineering:wooden_decoration>, tile.immersiveengineering.wooden_decoration.name
<block:immersiveengineering:wooden_device0>, tile.immersiveengineering.wooden_device0.name
<block:immersiveengineering:wooden_device1>, tile.immersiveengineering.wooden_device1.name
<block:immersivepetroleum:dummy>, tile.immersivepetroleum.dummy.name
<block:immersivepetroleum:fluid_crude_oil>, Crude Oil
<block:immersivepetroleum:fluid_diesel>, Diesel
<block:immersivepetroleum:fluid_gasoline>, Gasoline
<block:immersivepetroleum:fluid_lubricant>, Lubricant
<block:immersivepetroleum:fluid_napalm>, Napalm
<block:immersivepetroleum:metal_device>, tile.immersivepetroleum.metal_device.name
<block:immersivepetroleum:metal_multiblock>, tile.immersivepetroleum.metal_multiblock.name
<block:immersivepetroleum:stone_decoration>, tile.immersivepetroleum.stone_decoration.name
<block:immersivetech:connectors>, tile.immersivetech.connectors.name
<block:immersivetech:exhauststeam>, tile.immersivetech.exhaustSteam.name
<block:immersivetech:fluiddistwater>, Distilled Water
<block:immersivetech:fluidsteam>, Steam
<block:immersivetech:metal_barrel>, tile.immersivetech.metal_barrel.name
<block:immersivetech:metal_device>, tile.immersivetech.metal_device.name
<block:immersivetech:metal_multiblock>, tile.immersivetech.metal_multiblock.name
<block:immersivetech:metal_trash>, tile.immersivetech.metal_trash.name
<block:immersivetech:stone_decoration>, tile.immersivetech.stone_decoration.name
<block:immersivetech:stone_decoration_slab>, tile.immersivetech.stone_decoration_slab.name
<block:immersivetech:stone_multiblock>, tile.immersivetech.stone_multiblock.name
<block:immersivetech:valve>, tile.immersivetech.valve.name
<block:immersivetech:wooden_crate>, tile.immersivetech.wooden_crate.name
<block:jaff:tank>, Fish Tank
<block:libvulpes:advancedmotor>, Advanced Motor
<block:libvulpes:advstructuremachine>, Advanced Machine Structure
<block:libvulpes:blockphantom>, tile.blockPhantom.name
<block:libvulpes:coalgenerator>, Coal Generator
<block:libvulpes:coil0>, tile.coil.name
<block:libvulpes:creativepowerbattery>, Creative Power Input Plug
<block:libvulpes:elitemotor>, Elite Motor
<block:libvulpes:enhancedmotor>, Enhanced Motor
<block:libvulpes:forgepowerinput>, Power Input Plug
<block:libvulpes:forgepoweroutput>, Power Output Plug
<block:libvulpes:hatch>, tile.hatch.name
<block:libvulpes:metal0>, tile.metal.name
<block:libvulpes:motor>, Motor
<block:libvulpes:ore0>, tile.ore.name
<block:libvulpes:placeholder>, Machine
<block:libvulpes:structuremachine>, Machine Structure
<block:mcjtylib_ng:multipart>, tile.mcjtylib_ng.multipart.name
<block:minecraft:acacia_door>, Acacia Door
<block:minecraft:acacia_fence>, Acacia Fence
<block:minecraft:acacia_fence_gate>, Acacia Fence Gate
<block:minecraft:acacia_stairs>, Acacia Wood Stairs
<block:minecraft:activator_rail>, Activator Rail
<block:minecraft:air>, Air
<block:minecraft:anvil>, Anvil
<block:minecraft:barrier>, Barrier
<block:minecraft:beacon>, Beacon
<block:minecraft:bed>, tile.bed.name
<block:minecraft:bedrock>, Bedrock
<block:minecraft:beetroots>, Beetroots
<block:minecraft:birch_door>, Birch Door
<block:minecraft:birch_fence>, Birch Fence
<block:minecraft:birch_fence_gate>, Birch Fence Gate
<block:minecraft:birch_stairs>, Birch Wood Stairs
<block:minecraft:black_glazed_terracotta>, Black Glazed Terracotta
<block:minecraft:black_shulker_box>, Black Shulker Box
<block:minecraft:blue_glazed_terracotta>, Blue Glazed Terracotta
<block:minecraft:blue_shulker_box>, Blue Shulker Box
<block:minecraft:bone_block>, Bone Block
<block:minecraft:bookshelf>, Bookshelf
<block:minecraft:brewing_stand>, Brewing Stand
<block:minecraft:brick_block>, Bricks
<block:minecraft:brick_stairs>, Brick Stairs
<block:minecraft:brown_glazed_terracotta>, Brown Glazed Terracotta
<block:minecraft:brown_mushroom>, Mushroom
<block:minecraft:brown_mushroom_block>, Mushroom
<block:minecraft:brown_shulker_box>, Brown Shulker Box
<block:minecraft:cactus>, Cactus
<block:minecraft:cake>, Cake
<block:minecraft:carpet>, Carpet
<block:minecraft:carrots>, Carrots
<block:minecraft:cauldron>, Cauldron
<block:minecraft:chain_command_block>, Chain Command Block
<block:minecraft:chest>, Chest
<block:minecraft:chorus_flower>, Chorus Flower
<block:minecraft:chorus_plant>, Chorus Plant
<block:minecraft:clay>, Clay
<block:minecraft:coal_block>, Block of Coal
<block:minecraft:coal_ore>, Coal Ore
<block:minecraft:cobblestone>, Cobblestone
<block:minecraft:cobblestone_wall>, Cobblestone Wall
<block:minecraft:cocoa>, Cocoa
<block:minecraft:command_block>, Command Block
<block:minecraft:concrete>, Concrete
<block:minecraft:concrete_powder>, tile.concretePowder.name
<block:minecraft:crafting_table>, Crafting Table
<block:minecraft:cyan_glazed_terracotta>, Cyan Glazed Terracotta
<block:minecraft:cyan_shulker_box>, Cyan Shulker Box
<block:minecraft:dark_oak_door>, Dark Oak Door
<block:minecraft:dark_oak_fence>, Dark Oak Fence
<block:minecraft:dark_oak_fence_gate>, Dark Oak Fence Gate
<block:minecraft:dark_oak_stairs>, Dark Oak Wood Stairs
<block:minecraft:daylight_detector>, Daylight Sensor
<block:minecraft:daylight_detector_inverted>, Daylight Sensor
<block:minecraft:deadbush>, Dead Bush
<block:minecraft:detector_rail>, Detector Rail
<block:minecraft:diamond_block>, Block of Diamond
<block:minecraft:diamond_ore>, Diamond Ore
<block:minecraft:dirt>, Dirt
<block:minecraft:dispenser>, Dispenser
<block:minecraft:double_plant>, Plant
<block:minecraft:double_stone_slab>, Stone Slab
<block:minecraft:double_stone_slab2>, Red Sandstone Slab
<block:minecraft:double_wooden_slab>, Wood Slab
<block:minecraft:dragon_egg>, Dragon Egg
<block:minecraft:dropper>, Dropper
<block:minecraft:emerald_block>, Block of Emerald
<block:minecraft:emerald_ore>, Emerald Ore
<block:minecraft:enchanting_table>, Enchantment Table
<block:minecraft:end_bricks>, End Stone Bricks
<block:minecraft:end_gateway>, tile.null.name
<block:minecraft:end_portal>, tile.null.name
<block:minecraft:end_portal_frame>, End Portal
<block:minecraft:end_rod>, End Rod
<block:minecraft:end_stone>, End Stone
<block:minecraft:ender_chest>, Ender Chest
<block:minecraft:farmland>, Farmland
<block:minecraft:fence>, Oak Fence
<block:minecraft:fence_gate>, Oak Fence Gate
<block:minecraft:fire>, Fire
<block:minecraft:flower_pot>, Flower Pot
<block:minecraft:flowing_lava>, Lava
<block:minecraft:flowing_water>, Rainwater
<block:minecraft:frosted_ice>, Frosted Ice
<block:minecraft:furnace>, Steel Furnace
<block:minecraft:glass>, Glass
<block:minecraft:glass_pane>, Glass Pane
<block:minecraft:glowstone>, Glowstone
<block:minecraft:gold_block>, Block of Gold
<block:minecraft:gold_ore>, Gold Ore
<block:minecraft:golden_rail>, Powered Rail
<block:minecraft:grass>, Grass Block
<block:minecraft:grass_path>, Grass Path
<block:minecraft:gravel>, Gravel
<block:minecraft:gray_glazed_terracotta>, Gray Glazed Terracotta
<block:minecraft:gray_shulker_box>, Gray Shulker Box
<block:minecraft:green_glazed_terracotta>, Green Glazed Terracotta
<block:minecraft:green_shulker_box>, Green Shulker Box
<block:minecraft:hardened_clay>, Terracotta
<block:minecraft:hay_block>, Hay Bale
<block:minecraft:heavy_weighted_pressure_plate>, Weighted Pressure Plate (Heavy)
<block:minecraft:hopper>, Hopper
<block:minecraft:ice>, Ice
<block:minecraft:iron_bars>, Iron Bars
<block:minecraft:iron_block>, Block of Iron
<block:minecraft:iron_door>, Iron Door
<block:minecraft:iron_ore>, Iron Ore
<block:minecraft:iron_trapdoor>, Iron Trapdoor
<block:minecraft:jukebox>, Jukebox
<block:minecraft:jungle_door>, Jungle Door
<block:minecraft:jungle_fence>, Jungle Fence
<block:minecraft:jungle_fence_gate>, Jungle Fence Gate
<block:minecraft:jungle_stairs>, Jungle Wood Stairs
<block:minecraft:ladder>, Ladder
<block:minecraft:lapis_block>, Lapis Lazuli Block
<block:minecraft:lapis_ore>, Lapis Lazuli Ore
<block:minecraft:lava>, Lava
<block:minecraft:leaves>, Leaves
<block:minecraft:leaves2>, Leaves
<block:minecraft:lever>, Lever
<block:minecraft:light_blue_glazed_terracotta>, Light Blue Glazed Terracotta
<block:minecraft:light_blue_shulker_box>, Light Blue Shulker Box
<block:minecraft:light_weighted_pressure_plate>, Weighted Pressure Plate (Light)
<block:minecraft:lime_glazed_terracotta>, Lime Glazed Terracotta
<block:minecraft:lime_shulker_box>, Lime Shulker Box
<block:minecraft:lit_furnace>, Steel Furnace
<block:minecraft:lit_pumpkin>, Jack o'Lantern
<block:minecraft:lit_redstone_lamp>, Redstone Lamp
<block:minecraft:lit_redstone_ore>, Redstone Ore
<block:minecraft:log>, Wood
<block:minecraft:log2>, Wood
<block:minecraft:magenta_glazed_terracotta>, Magenta Glazed Terracotta
<block:minecraft:magenta_shulker_box>, Magenta Shulker Box
<block:minecraft:magma>, Magma Block
<block:minecraft:melon_block>, Melon
<block:minecraft:melon_stem>, Pumpkin Stem
<block:minecraft:mob_spawner>, Monster Spawner
<block:minecraft:monster_egg>, Stone Monster Egg
<block:minecraft:mossy_cobblestone>, Moss Stone
<block:minecraft:mycelium>, Mycelium
<block:minecraft:nether_brick>, Nether Brick
<block:minecraft:nether_brick_fence>, Nether Brick Fence
<block:minecraft:nether_brick_stairs>, Nether Brick Stairs
<block:minecraft:nether_wart>, Nether Wart
<block:minecraft:nether_wart_block>, Nether Wart Block
<block:minecraft:netherrack>, Netherrack
<block:minecraft:noteblock>, Note Block
<block:minecraft:oak_stairs>, Oak Wood Stairs
<block:minecraft:observer>, Observer
<block:minecraft:obsidian>, Obsidian
<block:minecraft:orange_glazed_terracotta>, Orange Glazed Terracotta
<block:minecraft:orange_shulker_box>, Orange Shulker Box
<block:minecraft:packed_ice>, Packed Ice
<block:minecraft:pink_glazed_terracotta>, Pink Glazed Terracotta
<block:minecraft:pink_shulker_box>, Pink Shulker Box
<block:minecraft:piston>, Piston
<block:minecraft:piston_extension>, tile.null.name
<block:minecraft:piston_head>, Piston
<block:minecraft:planks>, Wooden Planks
<block:minecraft:portal>, Portal
<block:minecraft:potatoes>, Potatoes
<block:minecraft:powered_comparator>, Redstone Comparator
<block:minecraft:powered_repeater>, Redstone Repeater
<block:minecraft:prismarine>, Prismarine
<block:minecraft:pumpkin>, Pumpkin
<block:minecraft:pumpkin_stem>, Pumpkin Stem
<block:minecraft:purple_glazed_terracotta>, Purple Glazed Terracotta
<block:minecraft:purple_shulker_box>, Purple Shulker Box
<block:minecraft:purpur_block>, Purpur Block
<block:minecraft:purpur_double_slab>, Purpur Slab
<block:minecraft:purpur_pillar>, Purpur Pillar
<block:minecraft:purpur_slab>, Purpur Slab
<block:minecraft:purpur_stairs>, Purpur Stairs
<block:minecraft:quartz_block>, Block of Quartz
<block:minecraft:quartz_ore>, Nether Quartz Ore
<block:minecraft:quartz_stairs>, Quartz Stairs
<block:minecraft:rail>, Rail
<block:minecraft:red_flower>, Flower
<block:minecraft:red_glazed_terracotta>, Red Glazed Terracotta
<block:minecraft:red_mushroom>, Mushroom
<block:minecraft:red_mushroom_block>, Mushroom
<block:minecraft:red_nether_brick>, Red Nether Brick
<block:minecraft:red_sandstone>, Red Sandstone
<block:minecraft:red_sandstone_stairs>, Red Sandstone Stairs
<block:minecraft:red_shulker_box>, Red Shulker Box
<block:minecraft:redstone_block>, Block of Redstone
<block:minecraft:redstone_lamp>, Redstone Lamp
<block:minecraft:redstone_ore>, Redstone Ore
<block:minecraft:redstone_torch>, Redstone Torch
<block:minecraft:redstone_wire>, Redstone Dust
<block:minecraft:reeds>, Sugar cane
<block:minecraft:repeating_command_block>, Repeating Command Block
<block:minecraft:sand>, Sand
<block:minecraft:sandstone>, Sandstone
<block:minecraft:sandstone_stairs>, Sandstone Stairs
<block:minecraft:sapling>, Oak Sapling
<block:minecraft:sea_lantern>, Sea Lantern
<block:minecraft:silver_glazed_terracotta>, Light Gray Glazed Terracotta
<block:minecraft:silver_shulker_box>, Light Gray Shulker Box
<block:minecraft:skull>, tile.skull.skeleton.name
<block:minecraft:slime>, Slime Block
<block:minecraft:snow>, Snow
<block:minecraft:snow_layer>, Snow
<block:minecraft:soul_sand>, Soul Sand
<block:minecraft:sponge>, Sponge
<block:minecraft:spruce_door>, Spruce Door
<block:minecraft:spruce_fence>, Spruce Fence
<block:minecraft:spruce_fence_gate>, Spruce Fence Gate
<block:minecraft:spruce_stairs>, Spruce Wood Stairs
<block:minecraft:stained_glass>, Stained Glass
<block:minecraft:stained_glass_pane>, Stained Glass Pane
<block:minecraft:stained_hardened_clay>, Stained Terracotta
